diagnostic,specialty
Lumbago con ciática,TRAUMATOLOGIA
"Coxartrosis (artrosis de la cadera) , (artrosis)",TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Paciente Sano,TRAUMATOLOGIA
"Gonartrosis (artrosis de la rodilla) , (artrosis)",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Maloclusión de tipo no especificado,TRAUMATOLOGIA
Dedo en gatillo,TRAUMATOLOGIA
Derrame articular,TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
Mordida Abierta,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Ruptura traumatica del ligamento lateral del radio,TRAUMATOLOGIA
Dolor en miembro,TRAUMATOLOGIA
Otros trastornos de los meniscos,TRAUMATOLOGIA
Examen medico general,TRAUMATOLOGIA
Dolor en articulacion,TRAUMATOLOGIA
"Trastornos de disco lumbar y otros, con radiculopatia",TRAUMATOLOGIA
Esguince y torcedura de la muñeca,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Otros trastorno articulares, no clasificados en otra parte,(otros trastornos articulares)",TRAUMATOLOGIA
Luxacion de la articulacion del tobillo,TRAUMATOLOGIA
Espondilolistesis,TRAUMATOLOGIA
"Gonartrosis, no especificada",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Escoliosis, no especificada",TRAUMATOLOGIA
"Escoliosis, no especificada",TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
Lumbago con ciática,TRAUMATOLOGIA
Fractura de costilla,TRAUMATOLOGIA
Fracturas multiples de los dedos de la mano,TRAUMATOLOGIA
"Luxacion, esguince y desgarro de articulaciones y ligamentos de la rodilla",TRAUMATOLOGIA
Dolor en miembro,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Gonartrosis (artrosis de la rodilla) , (artrosis)",TRAUMATOLOGIA
"Fascitis, no clasificada en otra parte",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Fractura de los huesos de otro(s) dedo(s) del pie,TRAUMATOLOGIA
"Deformidad congenita de la cadera, no especificada",TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
Pie plano congenito,TRAUMATOLOGIA
"Luxación, esguince y desgarro de articulaciones y ligamentos de la rodilla",TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
Otro traumatismo de la medula espinal lumbar,TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Fractura de la clavicula,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
"Trastornos de disco lumbar y otros, con radiculopatia",TRAUMATOLOGIA
"Otros trastornos de los discos intervertebrales, (otras dorsopatias)",TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
CONSULTA NO ESPECIFICADA,TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
Consulta para atencion y supervision de la salud de otros niños o lactantes sanos,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Otra atencion medica,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Observacion por sospecha de tuberculosis,TRAUMATOLOGIA
Otros trastornos de los meniscos,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Observación por sospecha de otras enfermedades y afecciones,TRAUMATOLOGIA
Espondilolistesis,TRAUMATOLOGIA
Fractura de otro dedo de la mano,TRAUMATOLOGIA
Fractura de la clavicula,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Esguinces y torceduras que comprometen el ligamento cruzado (anterior) (posterior) de la rodilla,TRAUMATOLOGIA
Otros trastornos sinoviales y tendinosos en enfermedades clasificadas en otra parte,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Artrosis, no especificada",TRAUMATOLOGIA
Sindrome del manguito rotatorio,TRAUMATOLOGIA
Lumbago con ciatica,TRAUMATOLOGIA
"Escoliosis, no especificada",TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
"Lesiones del hombro,(otros trastornos de los tejidos blandos)",TRAUMATOLOGIA
"Gonartrosis (artrosis de la rodilla) , (artrosis)",TRAUMATOLOGIA
Observacion por sospecha de otras enfermedades y afecciones,TRAUMATOLOGIA
Otras anormalidades de la marcha y de la movilidad y las no especificadas,TRAUMATOLOGIA
Otras bursitis de la rodilla,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Sindrome de abduccion dolorosa del hombro,TRAUMATOLOGIA
Luxacion de dedos de la mano,TRAUMATOLOGIA
Esguinces y torceduras de otras partes y las no especificadas de la rodilla,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Gonartrosis (artrosis de la rodilla) , (artrosis)",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Observacion por sospecha de otras enfermedades y afecciones,TRAUMATOLOGIA
"Lesion del hombro, no especificada",TRAUMATOLOGIA
"Lesion del hombro, no especificada",TRAUMATOLOGIA
Defecto por reduccion longitudinal del radio,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Lumbago con ciatica,TRAUMATOLOGIA
TUMOR OSEO SACRO CELULAS GIGANTES,TRAUMATOLOGIA
Enfermedad pulmonar obstructiva crónica con infección aguda de las vías respiratorias inferiores,TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
"Escoliosis, no especificada",TRAUMATOLOGIA
"Dolor, no especificado",TRAUMATOLOGIA
ESGUINCE DEL TOBILLO,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Traumatismo de multiples tendones y musculos extensores a nivel de la muñeca y de la mano,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Asma,TRAUMATOLOGIA
Observacion y evaluacion medica por sospecha de enfermedades y afecciones,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Otras atenciones medicas especificadas,TRAUMATOLOGIA
Otras bursitis de la rodilla,TRAUMATOLOGIA
"ATENCION MEDICA, NO ESPECIFICADA",TRAUMATOLOGIA
"Luxacion congenita de la cadera, no especificada",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Fractura del antebrazo,TRAUMATOLOGIA
Fractura de otro dedo de la mano,TRAUMATOLOGIA
GONALGIA CRONICA,TRAUMATOLOGIA
Otros desplazamientos especificados de disco intervertebral,TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
Sindrome de abduccion dolorosa del hombro,TRAUMATOLOGIA
Sinovitis crepitante cronica de la mano y de la muñeca,TRAUMATOLOGIA
"Escoliosis, no especificada",TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
"Coxartrosis primaria, bilateral",TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Otros desplazamientos de disco cervical,TRAUMATOLOGIA
"Gonartrosis (artrosis de la rodilla) , (artrosis)",TRAUMATOLOGIA
Pie plano congenito,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Pie plano pes planus (adquirido),TRAUMATOLOGIA
Espolon calcaneo,TRAUMATOLOGIA
Otros trastornos de los meniscos,TRAUMATOLOGIA
"Dolor, no especificado",TRAUMATOLOGIA
Observacion por sospecha de otras enfermedades y afecciones,TRAUMATOLOGIA
"Gonartrosis (artrosis de la rodilla) , (artrosis)",TRAUMATOLOGIA
Resto Radicular,TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
"Sinovitis y tenosinovitis, no especificada",TRAUMATOLOGIA
Pie plano pes planus (adquirido),TRAUMATOLOGIA
Pseudocoxalgia,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
GONARTROSIS,TRAUMATOLOGIA
Fractura a nivel de la muñeca y de la mano,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Pie plano congenito,TRAUMATOLOGIA
CONSULTA NO ESPECIFICADA,TRAUMATOLOGIA
HOMBRO DOLOROSO,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Otros trastornos sinoviales y tendinosos en enfermedades clasificadas en otra parte,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Pie plano pes planus (adquirido),TRAUMATOLOGIA
"Trastornos de disco lumbar y otros, con radiculopatia",TRAUMATOLOGIA
Lumbago con ciatica,TRAUMATOLOGIA
"Trastorno interno de la rodilla, no especificado",TRAUMATOLOGIA
Pie plano pes planus (adquirido),TRAUMATOLOGIA
Pie plano congenito,TRAUMATOLOGIA
"Examen para fines administrativos, no especificado",TRAUMATOLOGIA
Acortamiento del tendon de Aquiles (adquirido),TRAUMATOLOGIA
ESCOLIOSIS DORSO LUMBAR,TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
"Lesion del hombro, no especificada",TRAUMATOLOGIA
Dolor en miembro,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Sindrome de abduccion dolorosa del hombro,TRAUMATOLOGIA
Fractura de otro dedo de la mano,TRAUMATOLOGIA
"Luxacion, esguince y desgarro de articulaciones y ligamentos del tobillo y del pie",TRAUMATOLOGIA
Contusion de la rodilla,TRAUMATOLOGIA
Sindrome de abduccion dolorosa del hombro,TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
Trastorno de menisco debido a desgarro o lesion antigua,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Pie plano pes planus (adquirido),TRAUMATOLOGIA
Espolon calcaneo,TRAUMATOLOGIA
HOMBRO DOLOROSO,TRAUMATOLOGIA
Mucocele de glándula salival,TRAUMATOLOGIA
Dolor agudo,TRAUMATOLOGIA
CONSULTA NO ESPECIFICADA,TRAUMATOLOGIA
Espondilolistesis,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
CONSULTA NO ESPECIFICADA,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Artrosis, no especificada",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Hallux valgus (adquirido),TRAUMATOLOGIA
"Gonartrosis postraumatica, bilateral",TRAUMATOLOGIA
FRACTURA TOBILLO NO DESPLAZADA,TRAUMATOLOGIA
Sindrome de abduccion dolorosa del hombro,TRAUMATOLOGIA
Otras deformidades congénitas de la cadera (Displasia de caderas Anteversión del Cuello Femoral Coxa Congénita: Vara o Valga),TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
"Gonartrosis (artrosis de la rodilla) , (artrosis)",TRAUMATOLOGIA
ARTROSIS CADERA LEVE,TRAUMATOLOGIA
POLICONTUSIONES,TRAUMATOLOGIA
Fractura del hueso escafoides navicular de la mano,TRAUMATOLOGIA
Esguinces y torceduras que comprometen los ligamentos laterales (externo) (interno) de la rodilla,TRAUMATOLOGIA
"Poliartrosis, (artrosis)",TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
"Fractura de la pierna, inclusive el tobillo",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Esguinces y torceduras de otras partes y las no especificadas de la rodilla,TRAUMATOLOGIA
LUMBAGO CRONICO,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Otras lesiones del hombro,TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
"Subluxación de la sinfisis (del pubis) en el embarazo, el parto y el puerperio",TRAUMATOLOGIA
"Sinovitis y tenosinovitis,(trastornos de los tendones y de la sinovia)",TRAUMATOLOGIA
"Trastorno interno de la rodilla, no especificado",TRAUMATOLOGIA
Hallux valgus (adquirido),TRAUMATOLOGIA
Tendinitis aquiliana,TRAUMATOLOGIA
Esguinces y torceduras del tobillo,TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
Pie plano congenito,TRAUMATOLOGIA
Fractura del peroné solamente,TRAUMATOLOGIA
Indicación Extracción Por Ortodoncia,TRAUMATOLOGIA
Observacion por sospecha de otras enfermedades y afecciones,TRAUMATOLOGIA
"Escoliosis, no especificada",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Desgarro de meniscos, presente",TRAUMATOLOGIA
"Artrosis, no especificada",TRAUMATOLOGIA
"Coxartrosis, no especificada",TRAUMATOLOGIA
Sindrome del tunel carpiano,TRAUMATOLOGIA
Espolon calcaneo,TRAUMATOLOGIA
Otras deformidades del hallux (adquiridas),TRAUMATOLOGIA
Espolon calcaneo,TRAUMATOLOGIA
Examen de ojos y de la vision,TRAUMATOLOGIA
Otras atenciones medicas especificadas,TRAUMATOLOGIA
"Luxacion, esguince y desgarro de articulaciones y ligamentos del tobillo y del pie",TRAUMATOLOGIA
Tendinitis calcificante del hombro,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Secuelas de fractura de la muñeca y de la mano,TRAUMATOLOGIA
Observacion y evaluacion medica por sospecha de enfermedades y afecciones,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
"Gonartrosis (artrosis de la rodilla) , (artrosis)",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Anomalías de la posición del diente,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Esguinces y torceduras de dedo(s) de la mano,TRAUMATOLOGIA
Otros trastornos de los meniscos,TRAUMATOLOGIA
"Trastornos de disco lumbar y otros, con radiculopatia",TRAUMATOLOGIA
"Trastorno interno de la rodilla, no especificado",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Deformaciones congenitas de los pies,TRAUMATOLOGIA
Desajuste De Protesis,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Dolor en miembro,TRAUMATOLOGIA
"Trastorno sinovial y tendinoso, no especificado",TRAUMATOLOGIA
Dedo en gatillo,TRAUMATOLOGIA
"Fractura de la pierna, inclusive el tobillo",TRAUMATOLOGIA
Dolor pelvico y perineal,TRAUMATOLOGIA
Deformaciones congenitas de la cadera,TRAUMATOLOGIA
CONSULTA NO ESPECIFICADA,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Pseudocoxalgia,TRAUMATOLOGIA
Fractura de la clavicula debida a traumatismo del nacimiento,TRAUMATOLOGIA
Esguinces y torceduras del tobillo,TRAUMATOLOGIA
Anormalidades de la marcha y de la movilidad,TRAUMATOLOGIA
Trastorno de disco cervical con radiculopatia,TRAUMATOLOGIA
"Trastorno interno de la rodilla, no especificado",TRAUMATOLOGIA
Amputacion traumatica de la mano a nivel de la muñeca,TRAUMATOLOGIA
Enfermedad pulmonar obstructiva cronica con infeccion aguda de las vias respiratorias inferiores,TRAUMATOLOGIA
Otras atenciones medicas especificadas,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Otros trastornos de los meniscos,TRAUMATOLOGIA
Esguinces y torceduras del tobillo,TRAUMATOLOGIA
Traumatismo del tendon del manguito rotatorio del hombro,TRAUMATOLOGIA
Otras deformidades adquiridas del tobillo y del pie,TRAUMATOLOGIA
Herida del tobillo,TRAUMATOLOGIA
Dientes incluidos e impactados,TRAUMATOLOGIA
"Coxartrosis (artrosis de la cadera) , (artrosis)",TRAUMATOLOGIA
Otros desplazamientos especificados de disco intervertebral,TRAUMATOLOGIA
CONSULTA NO ESPECIFICADA,TRAUMATOLOGIA
Quiste sinovial del hueco popliteo de Baker,TRAUMATOLOGIA
Lumbago con ciatica,TRAUMATOLOGIA
Fractura de los huesos de otro(s) dedo(s) del pie,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
"Calcificacion y osificacion del musculo,(trastornos de los musculos)",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Esguinces y torceduras del tobillo,TRAUMATOLOGIA
Sialolitiasis,TRAUMATOLOGIA
Observacion y evaluacion medica por sospecha de enfermedades y afecciones,TRAUMATOLOGIA
"Trastorno interno de la rodilla, no especificado",TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Ciática,TRAUMATOLOGIA
Otros traumatismos de region no especificada del cuerpo,TRAUMATOLOGIA
Pie plano pes planus (adquirido),TRAUMATOLOGIA
Otros examenes especiales e investigaciones en personas sin quejas o sin diagnosticos informados,TRAUMATOLOGIA
Pie plano pes planus (adquirido),TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
DISPLASIA CADERAS BILATERAL,TRAUMATOLOGIA
LUMBAGO CRONICO,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Luxacion de la muñeca,TRAUMATOLOGIA
CONSULTA NO ESPECIFICADA,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Artrosis, no especificada",TRAUMATOLOGIA
Sindrome de abduccion dolorosa del hombro,TRAUMATOLOGIA
HOMBRO DOLOROSO,TRAUMATOLOGIA
Fractura del hueso escafoides navicular de la mano,TRAUMATOLOGIA
Contusion del hombro y del brazo,TRAUMATOLOGIA
"Otros bursopatias,(otros trastornos de los tejidos blandos)",TRAUMATOLOGIA
Quiste oseo solitario,TRAUMATOLOGIA
Convalecencia consecutiva a tratamiento de fractura,TRAUMATOLOGIA
"Artrosis, no especificada",TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Tendinitis aquiliana,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Dedo en gatillo,TRAUMATOLOGIA
"Sinovitis y tenosinovitis,(trastornos de los tendones y de la sinovia)",TRAUMATOLOGIA
Tendinitis del biceps,TRAUMATOLOGIA
SOSPECHA DE MENISCO DISCOIDEO DE RODILLA,TRAUMATOLOGIA
Fracturas multiples de los dedos de la mano,TRAUMATOLOGIA
Sindrome del manguito rotatorio,TRAUMATOLOGIA
Fractura de costilla,TRAUMATOLOGIA
Observacion por sospecha de otras enfermedades y afecciones,TRAUMATOLOGIA
Pie plano congenito,TRAUMATOLOGIA
CONSULTA NO ESPECIFICADA,TRAUMATOLOGIA
Pie plano congenito,TRAUMATOLOGIA
CONSULTA NO ESPECIFICADA,TRAUMATOLOGIA
"Poliartrosis, (artrosis)",TRAUMATOLOGIA
Fractura de otro dedo de la mano,TRAUMATOLOGIA
"Gonartrosis (artrosis de la rodilla) , (artrosis)",TRAUMATOLOGIA
Compresiones de las raíces y plexos nerviosos en trastornos de los discos intervertebrales (M50-M51+),TRAUMATOLOGIA
Espolon calcaneo,TRAUMATOLOGIA
"Trastorno sinovial y tendinoso, no especificado",TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Tumor benigno de los huesos cortos del miembro inferior,TRAUMATOLOGIA
Observacion y evaluacion medica por sospecha de enfermedades y afecciones,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
"Traumatismo superficial de la cadera y del muslo, no especificado",TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
"Fractura de la pierna, inclusive el tobillo",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Pie plano pes planus (adquirido),TRAUMATOLOGIA
"Gonartrosis (artrosis de la rodilla) , (artrosis)",TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
"Desgarro de meniscos, presente",TRAUMATOLOGIA
Pie plano congenito,TRAUMATOLOGIA
Pie plano pes planus (adquirido),TRAUMATOLOGIA
Pie plano congenito,TRAUMATOLOGIA
"Hernia inguinal unilateral o no especificada, sin obstruccion ni gangrena",TRAUMATOLOGIA
Examen medico general,TRAUMATOLOGIA
Pie plano congenito,TRAUMATOLOGIA
Otra atencion medica,TRAUMATOLOGIA
Fractura de los huesos de otro(s) dedo(s) del pie,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Hallux valgus (adquirido),TRAUMATOLOGIA
Otros examenes especiales e investigaciones en personas sin quejas o sin diagnosticos informados,TRAUMATOLOGIA
"Trastorno de disco cervical, no especificado",TRAUMATOLOGIA
Síndrome de abducción dolorosa del hombro,TRAUMATOLOGIA
"Deformidad en valgo, no clasificada en otra parte",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
FRACTURA EXPUESTA DE LA MANO,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Pie plano pes planus (adquirido),TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
"Gonartrosis (artrosis de la rodilla) , (artrosis)",TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Contusion del tobillo,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Otros desgarros (no traumaticos) del musculo,TRAUMATOLOGIA
Tumor de comportamiento incierto o desconocido del hueso y cartilago articular,TRAUMATOLOGIA
Hallux valgus (adquirido),TRAUMATOLOGIA
CONSULTA NO ESPECIFICADA,TRAUMATOLOGIA
TRAUMA DEDO ME+æIQUE,TRAUMATOLOGIA
Artrosis primaria de otras articulaciones,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Desgarro de meniscos, presente",TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Contusion de la rodilla,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Otras bursitis de la rodilla,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
POLIARTRALGIAS,TRAUMATOLOGIA
Esguinces y torceduras de dedo(s) de la mano,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Fractura de la pierna, parte no especificada",TRAUMATOLOGIA
Anomalías de la posición del diente,TRAUMATOLOGIA
Fractura del peroné solamente,TRAUMATOLOGIA
Sindrome del manguito rotatorio,TRAUMATOLOGIA
"Entesopatia, no especificada",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Sindrome del tunel carpiano,TRAUMATOLOGIA
PIE PLANO ADQUIRIDO,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Luxacion de la articulacion esternoclavicular,TRAUMATOLOGIA
"Deformidad en valgo, no clasificada en otra parte",TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
Otros desplazamientos especificados de disco intervertebral,TRAUMATOLOGIA
"Escoliosis, no especificada",TRAUMATOLOGIA
"Traumatismo superficial de la pierna, no especificado",TRAUMATOLOGIA
Inestabilidad cronica de la rodilla,TRAUMATOLOGIA
Contusion del torax,TRAUMATOLOGIA
Bursitis del trocanter,TRAUMATOLOGIA
Otros examenes especiales e investigaciones en personas sin quejas o sin diagnosticos informados,TRAUMATOLOGIA
PIE PLANO ANTERIOR,TRAUMATOLOGIA
Examen medico general,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Fractura de hueso del metatarso,TRAUMATOLOGIA
Dolor en articulacion,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Trastorno sinovial y tendinoso, no especificado",TRAUMATOLOGIA
"ATENCION MEDICA, NO ESPECIFICADA",TRAUMATOLOGIA
Dolor en miembro,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Sindrome de abduccion dolorosa del hombro,TRAUMATOLOGIA
Otros trastornos de los meniscos,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Tumor benigno de sitio no especificado,TRAUMATOLOGIA
"Luxacion, esguince y desgarro de articulaciones y ligamentos del tobillo y del pie",TRAUMATOLOGIA
Luxacion de la articulacion del tobillo,TRAUMATOLOGIA
CONSULTA NO ESPECIFICADA,TRAUMATOLOGIA
COXALGIA,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Escoliosis, no especificada",TRAUMATOLOGIA
HOMBRO DOLOROSO POR MANGUITO ROTADOR,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Otros trastornos de los meniscos,TRAUMATOLOGIA
"Artrosis, no especificada",TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
"Artrosis postraumatica de la primera articulacion carpometacarpiana, bilateral",TRAUMATOLOGIA
Trastorno de menisco debido a desgarro o lesion antigua,TRAUMATOLOGIA
SINOVITIS CADERA,TRAUMATOLOGIA
Compresiones de las raíces y plexos nerviosos en trastornos de los discos intervertebrales (M50-M51+),TRAUMATOLOGIA
Pseudocoxalgia,TRAUMATOLOGIA
Ruptura de quiste sinovial popliteo,TRAUMATOLOGIA
"Artritis, no especificada",TRAUMATOLOGIA
Otras deformidades congenitas de la cadera (Displasia de caderas Anteversion del Cuello Femoral Coxa Congenita: Vara o Valga),TRAUMATOLOGIA
"Espondilosis, no especificada",TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
Contusion del hombro y del brazo,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Caries dental,TRAUMATOLOGIA
"Otras malformaciones congenitas del (de los) miembro(s) inferior(es), incluida la cintura pelviana",TRAUMATOLOGIA
Otro traumatismo de la medula espinal lumbar,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
"Trastornos de disco lumbar y otros, con radiculopatia",TRAUMATOLOGIA
